q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
Somewhat agree,Somewhat agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree
Strongly Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Strongly Agree,Strongly Disagree,Somewhat agree
Strongly Disagree,Somewhat agree,Agree,Agree,Strongly Agree,Somewhat disagree,Strongly Agree,Somewhat agree,Somewhat agree,Strongly Agree,Agree,Strongly Disagree,Somewhat agree
Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree
Disagree,Strongly Disagree,Agree,Somewhat agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree
Disagree,Disagree,Strongly Disagree,Agree,Somewhat disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Disagree,Agree
Disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Agree,Disagree,Agree
Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Somewhat agree,Strongly Agree,Strongly Disagree,Strongly Agree
Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat agree
Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Strongly Disagree,Somewhat agree,Strongly Disagree,Strongly Agree
